name,mass,massRound,year,reclat,reclong
Yamato 791635,653,3,1979,-71.5,35.66667
Northwest Africa 3234,653,3,2006,0,0
Ness County (1938),652,3,1938,38.48333,-99.91667
Bealiba,652,3,1950,-36.8,143.55
Dhofar 657,652,3,2001,19.09915,54.80073
Dhofar 488,652,3,2001,19.10618,55.04583
Asuka 87319,651,3,1987,-72,26
Allan Hills A77304,650,3,1977,-76.71667,159.66667
Northwest Africa 7518,650,3,2012,0,0
Frankfort (stone),650,3,1868,34.48333,-87.83333
Yamato 7301,650,3,1973,-71.83333,35.5
Hammadah al Hamra 158,650,3,1995,28.55333,13.029
Dhofar 1195,650,3,2004,19.0315,54.3735
Northwest Africa 7369,650,3,2007,22.2,-13.15
Northwest Africa 6634,650,3,2011,0,0
Hammadah al Hamra 254,650,3,1997,29.1025,11.95433
Asuka 881819,649,3,1988,-72,26
Yamato 86032,648,3,1986,-71.5,35.66667
Ramlat as Sahmah 279,648,3,2008,20.59658,56.20918
Hammadah al Hamra 060,648,3,1994,28.95133,13.075
Hammadah al Hamra 163,648,3,1995,28.54483,13.35217
Podolkhovsky,648,3,2007,49.66883,42.8325
Northwest Africa 7455,648,3,2012,0,0
Sayh al Uhaymir 234,648,3,2002,20.53975,57.30675
Northwest Africa 3245,647,3,2006,0,0
Catalina 016,647,3,2010,-25.23333,-69.71667
Northwest Africa 7089,647,3,2011,0,0
Northwest Africa 7781,647,3,2012,0,0
Allan Hills 85021,647,3,1985,-76.85498,156.46606
Elephant Moraine 92035,646,3,1992,-76.01907,155.70093
Sayh al Uhaymir 227,646,3,2002,20.50052,57.27052
Yamato 791027,646,3,1979,-71.5,35.66667
Jiddat al Harasis 359,645,3,2003,19.35935,55.59332
Jiddat al Harasis 297,643,3,2005,19.80192,56.4623
Yamato 982381,643,3,1998,0,0
Hammadah al Hamra 046,643,3,1994,28.61667,12.94533
Allan Hills A77191,642,3,1977,-76.71667,159.66667
Dowa,642,3,1976,-13.66667,33.91667
Ouzina,642,3,1999,30.8,-4.18333
Grosvenor Mountains 95520,641,3,1995,-85.66667,175
Taiban (b),641,3,1984,34.45,-104.01667
Asuka 881810,641,3,1988,-72,26
Dhofar 355,641,3,2000,18.63775,54.73005
Jiddat al Harasis 227,641,3,2005,19.6254,56.88865
Seminole (g),640,3,1999,32.71667,-102.65
Pecora Escarpment 02068,640,3,2002,-85.63333,-68.7
Trysil,640,3,1927,61.3,12.3
Yamato 791313,640,3,1979,-71.5,35.66667
Dar al Gani 178,640,3,1996,27.141,16.16783
Dhofar 096,640,3,1999,18.66517,54.5635
Northwest Africa 7391,640,3,2003,0,0
Lasher Creek,640,3,1948,42.83333,-74.5
Asuka 882003,639,3,1988,-72,26
Allan Hills 83101,639,3,1983,-76.98533,156.87608
Dar al Gani 363,639,3,1997,27.84983,15.88583
Northwest Africa 3237,638,3,2006,0,0
Asuka 87334,638,3,1987,-72,26
Allan Hills A77219,637,3,1977,-76.71667,159.66667
Sungach,637,3,1935,44.86667,133.16667
Hammadah al Hamra 244,637,3,1997,28.8515,13.40367
Elephant Moraine 96028,636,3,1996,-76.18333,157.16667
Northwest Africa 6593,636,3,2010,0,0
Pampa de Mejillones 001,635,3,1999,-23.15639,-70.47458
Yamato 791633,634,3,1979,-71.5,35.66667
Hammadah al Hamra 149,633,3,1995,28.69167,13.21967
Northwest Africa 773,633,3,2000,26.76667,-12.81667
Morávka,633,3,2000,49.6,18.53333
Dhofar 663,633,3,2001,19.098,54.80357
Dhofar 670,633,3,2001,19.10097,54.80688
Allan Hills 85019,633,3,1985,-76.91508,156.53178
Yamato 983920,633,3,1998,0,0
Ramlat as Sahmah 226,632,3,2003,20.5625,56.08372
Jiddat al Harasis 690,632,3,2011,19.4305,55.44352
Northwest Africa 6467,632,3,2009,0,0
Plainview (c),631,3,1963,34.125,-101.75667
Hammadah al Hamra 333,631,3,2003,29.91403,13.04047
Allan Hills 84073,631,3,1984,-76.91608,156.97014
Larkman Nunatak 06288,630,3,2006,0,0
Sixiangkou,630,3,1989,32.43333,119.86667
Dar al Gani 328,630,3,1997,27.84267,15.8995
Dhofar 144,630,3,2000,18.41533,54.18233
Northwest Africa 5577,630,3,2007,0,0
Northwest Africa 5578,630,3,2007,0,0
Meteorite Hills 96508,629,3,1996,-79.68333,159.75
Banten,629,3,1933,-6.33333,106
El Carmen,629,3,1987,26.86667,-105.23333
Northwest Africa 844,629,3,2001,30.808,-5.85583
Northwest Africa 7026,629,3,2011,0,0
Hammadah al Hamra 070,628,3,1994,29.16133,12.45
Dar al Gani 090,628,3,1995,27.1585,16.03133
Grove Mountains 050033,628,3,2006,-72.99694,75.21833
Asuka 881015,628,3,1988,-72,26
West Reid,628,3,1969,-30.05,128.93333
Asuka 881067,627,3,1988,-72,26
Bir Zar 001,627,3,2008,31.481,9.84069
Queen Alexandra Range 93025,626,3,1993,-84.63051,162.50212
Yamato 791314,626,3,1979,-71.5,35.66667
Grosvenor Mountains 95544,626,3,1995,-85.66667,175
Alberta,625,3,1949,2,22.66667
Dhofar 1522,625,3,2008,18.67133,54.68167
Northwest Africa 7850,625,3,2012,0,0
Elephant Moraine 82605,625,3,1982,-76.29139,157.20917
Meteorite Hills A78001,624,3,1978,-79.68333,155.75
Dhofar 300,624,3,2001,18.40333,54.14333
Dhofar 1550,624,3,2008,18.59083,54.543
Northwest Africa 6141,624,3,2002,0,0
Grove Mountains 020068,624,3,2003,-72.995,75.20583
Larkman Nunatak 06292,624,3,2006,0,0
Hammadah al Hamra 169,623,3,1996,28.589,13.0985
Dhofar 027,623,3,1999,19.26333,54.72067
Grove Mountains 090105,623,3,2010,-72.77781,75.31547
Pecora Escarpment 91001,623,3,1991,-85.68251,-68.20314
Jiddat al Harasis 387,622,3,2003,19.27643,55.76668
Dar al Gani 083,622,3,1995,27.15967,15.96283
Sayh al Uhaymir 175,622,3,2004,20.573,56.70257
Meteorite Hills 01051,621,3,2001,-79.68333,159.75
Ilafegh 010,621,3,1989,21.63333,1.4
Tanezrouft 025,621,3,1991,25.44028,0.07528
Acfer 234,621,3,1991,27.50111,4.09861
Dhofar 1624,621,3,2009,18.16358,54.27542
Jiddat al Harasis 308,621,3,2005,19.66717,55.721
Yamato 74079,621,3,1974,-71.5,35.66667
Lahmada 007,621,3,1999,27.16667,-9.5
Patuxent Range 91502,620,3,1991,-84.78978,-62.2733
Sayh al Uhaymir 006,620,3,1999,20.927,57.2855
Hammadah al Hamra 287,620,3,2000,28.99025,12.93858
Dhofar 410,620,3,2001,18.74142,54.1933
Northwest Africa 4823,620,3,2006,0,0
El Médano 157,620,3,2011,-24.85,-70.53333
Allan Hills 85030,620,3,1985,-76.88918,156.51355
Meteorite Hills 01052,620,3,2001,-79.68333,159.75
Dar al Gani 015,619,3,1995,27.107,16.39333
Dar al Gani 127,619,3,1996,27.13317,16.16333
Asuka 87242,619,3,1987,-72,26
Meteorite Hills 96504,618,3,1996,-79.68333,159.75
Pelona Mountain,618,3,1999,33.66667,-108.1
Dhofar 326,618,3,2000,19.03333,54.515
Dar al Gani 254,617,3,1997,27.11267,16.31583
Pecora Escarpment 91024,617,3,1991,-85.63333,-68.7
Northwest Africa 7477,616,3,2012,0,0
Dar al Gani 306,616,3,1997,27.70467,16.18917
Dar al Gani 688,616,3,1999,26.95,16.46667
Tanezrouft 075,616,3,2002,24.06833,-1.3525
Northwest Africa 5389,616,3,2006,0,0
Ilafegh 007,615,3,1989,21.6,1.45
Dar al Gani 116,615,3,1996,27.19583,16.01317
Dhofar 362,615,3,2000,19.03452,54.84602
Hammadah al Hamra 304,615,3,2000,28.68267,13.10217
Dhofar 433,615,3,2001,18.63618,54.52935
Northwest Africa 5972,615,3,2009,0,0
Northwest Africa 7523,615,3,2007,0,0
Sayh al Uhaymir 246,614,3,2002,20.57935,57.1848
Botschetschki,614,3,1823,51.33333,33.88333
Miller Range 090060,614,3,2009,0,0
Miller Range 99303,613,3,1999,-83.25,157
Grosvenor Mountains 95533,613,3,1995,-85.66667,175
Sayh al Uhaymir 293,613,3,2004,20.60837,57.16007
LaPaz Icefield 02216,613,3,2002,-86.36667,-70
Massenya,612,3,1958,11.35,16.15
Allan Hills 84081,612,3,1984,-76.92365,156.95124
Acfer 214,612,3,1991,27.69,4.37861
Hammadah al Hamra 069,612,3,1994,29.03183,12.381
Dar al Gani 183,612,3,1996,27.07717,16.39817
Hammadah al Hamra 286,612,3,2000,29.05568,13.11937
Grove Mountains 020155,612,3,2003,-72.97722,75.26833
Northwest Africa 5837,612,3,2007,0,0
Lorenzo,612,3,1941,41.03333,-102.88333
Ramlat as Sahmah 363,612,3,2010,20.50582,55.83183
Allan Hills A77167,611,3,1977,-76.71667,159.66667
Baxter,611,3,1916,36.75,-93.5
Northwest Africa 7861,611,3,2013,0,0
Grove Mountains 022160,610,3,2003,-72.78167,75.30389
Hale Center (no. 1),610,3,1936,34.05,-101.75
Torreon de Mata,610,3,1983,26.83333,-105.41667
Northwest Africa 6333,610,3,2002,0,0
Allan Hills A77271,610,3,1977,-76.71667,159.66667
Hammadah al Hamra 219,609,3,1997,28.60017,13.4235
Hammadah al Hamra 315,609,3,2001,29.2705,11.54
Northwest Africa 5242,609,3,2007,0,0
Northwest Africa 7683,609,3,2012,0,0
North Forrest,609,3,1969,-30.5,128.1
Grein 002,609,3,1997,20.7145,11.11567
Yamato 792510,609,3,1979,-71.5,35.66667
Asuka 881767,609,3,1988,-72,26
Elephant Moraine 87542,609,3,1987,-76.18333,157.16667
Dhofar 989,609,3,2004,19.23439,54.91681
Queen Alexandra Range 90212,607,3,1990,-84.58632,162.61005
Dar al Gani 272,607,3,1997,27.18383,16.12883
Northwest Africa 7255,607,3,2004,0,0
Dhofar 1001,607,3,1998,18.55577,54.00077
Sayh al Uhaymir 207,607,3,2002,20.20125,56.96143
Allan Hills A78126,607,3,1978,-76.71667,159.66667
Jiddat al Harasis 499,606,3,2007,19.77988,56.41342
Oasis State Park,606,3,1968,34.22833,-103.35833
Hammadah al Hamra 121,606,3,1995,28.4945,13.33967
Bou Kra 002,606,3,2010,26.74853,-12.70978
Sheyang,605,3,1976,33.65,120.06667
Dar al Gani 410,605,3,1998,27.3725,16.24017
Northwest Africa 6604,605,3,2006,0,0
Dhofar 1566,605,3,2008,18.24233,54.1065
Dhofar 1555,605,3,2009,18.64717,54.52833
Elephant Moraine 99401,605,3,1999,-76.18333,157.16667
Asuka 881199,604,3,1988,-72,26
Yamato 983084,604,3,1998,0,0
Deport (a),604,3,1944,33.51667,-95.3
Acfer 161,604,3,1990,27.75,4.43333
Dhofar 553,604,3,2001,18.72268,54.3756
Yamato 86036,604,3,1986,-71.5,35.66667
Jiddat al Harasis 240,604,3,2005,19.98552,56.41543
Grove Mountains 023149,604,3,2003,-72.773056,75.338056
Grosvenor Mountains 95530,603,3,1995,-85.66667,175
Bowden,603,3,1907,-33,26.4
Northwest Africa 6471,603,3,2010,0,0
Dhofar 217,602,3,2000,18.74667,54.565
Dhofar 929,602,3,2002,18.51667,54.22833
Tieret 001,602,3,2009,30.74819,10.21017
Northwest Africa 6475,602,3,2010,0,0
Larkman Nunatak 06309,602,3,2006,0,0
Asuka 881909,601,3,1988,-72,26
Northwest Africa 7785,601,3,2012,0,0
Pittsburg,600,3,1850,40.43333,-80
Tomakovka,600,3,1905,47.85,34.76667
Tomita,600,3,1916,34.5,133.75
Mafra,600,3,1941,-26.16667,-49.93333
Andreevka,600,3,1969,48.7,37.5
Graves Nunataks 06111,600,3,2006,0,0
Dar al Gani 186,599,3,1996,27.10267,16.02833
Northwest Africa 6728,599,3,2009,0,0
Sayh al Uhaymir 078,599,3,2001,21.004,57.31867
El Mirage,598,3,1972,33.68333,-112.26667
Dhofar 118,598,3,2000,18.7385,54.26783
Allan Hills A77258,597,3,1977,-76.71667,159.66667
Queen Alexandra Range 93020,597,3,1993,-84.62303,162.05494
Hajmah (a),596,3,1958,19.91667,56.25
Dar al Gani 485,596,3,1997,27.01767,16.38833
Dar al Gani 775,596,3,1999,26.9675,16.44967
Portales (b),596,3,1967,34.06667,-103.5
Yamato 86748,595,3,1986,-71.5,35.66667
Northwest Africa 3306,595,3,2005,0,0
Pecora Escarpment 91028,594,3,1991,-85.69602,-68.99328
Graves Nunataks 98047,594,3,1998,-86.71667,-141.5
Visuni,594,3,1915,25.45,70
Hammadah al Hamra 085,594,3,1995,28.78483,12.91017
Dar al Gani 103,594,3,1996,27.17017,16.0355
Dhofar 321,594,3,2001,18.34833,54.28667
Dhofar 404,594,3,2001,19.30042,54.53087
Northwest Africa 6303,594,3,2009,0,0
Quarat al Hanish,593,3,1979,25.15,25.58333
Dhofar 560,593,3,2001,18.72607,54.38083
Northwest Africa 5492,593,3,2008,0,0
Meteorite Hills 96500,593,3,1996,-79.68333,159.75
Miller Range 07030,593,3,2007,0,0
Reckling Peak 92406,593,3,1992,-76.23124,158.10179
LaPaz Icefield 02213,593,3,2002,-86.36667,-70
Yamato 74037,592,3,1974,-71.5,35.66667
Al Huqf 063,592,3,2006,19.44533,57.02345
Pep,591,3,1966,33.73,-102.57667
Dar al Gani 340,591,3,1997,27.15133,16.045
Yamato 75108,591,3,1975,-71.5,35.66667
Meteorite Hills 00462,591,3,2000,-79.68333,155.75
Dhofar 1670,590,3,2011,18.53958,54.57358
Hammadah al Hamra 054,590,3,1994,28.988,13.06133
Hammadah al Hamra 129,590,3,1995,28.46183,13.1985
Dhofar 784,590,3,2000,18.95472,54.80468
Northwest Africa 6655,590,3,2011,0,0
Allan Hills A78103,590,3,1978,-76.71667,159.66667
Grove Mountains 022040,590,3,2003,-72.77861,75.31528
Dhofar 1706,589,3,2010,19.01508,54.57903
Allan Hills A77270,589,3,1977,-76.71667,159.66667
Elephant Moraine 87515,588,3,1987,-76.05805,156.3874
Dar al Gani 735,588,3,1997,27.16667,16.16667
Wisconsin Range 91601,588,3,1991,-86.52222,-123.79341
Ooldea 001,587,3,2010,-30.54603,131.9705
Asuka 881204,587,3,1988,-72,26
Jiddat al Harasis 739,587,3,,19.83278,56.43583
Yamato 982948,587,3,1998,0,0
Yamato 790460,586,3,1979,-71.5,35.66667
Dar al Gani 729,586,3,1999,27.1,16.35
Dar al Gani 697,586,3,1999,27.11667,16.05
Dhofar 119,586,3,2000,18.87633,54.476
Mohawk,586,3,2000,32.73,-113.71
Northwest Africa 7837,586,3,2012,0,0
Dhofar 250,586,3,2001,19.1225,54.67333
Hammadah al Hamra 007,585,3,1990,28.75,12.68333
Dar al Gani 875,585,3,1998,26.9195,16.68
Dar al Gani 404,585,3,1998,27.83767,15.91333
Kalahari 008,585,3,1999,-20.9818,22.9766
Northwest Africa 4707,585,3,2006,0,0
Northwest Africa 6741,585,3,2010,0,0
Northwest Africa 7851,585,3,2012,0,0
Ramlat as Sahmah 216,585,3,2003,20.57445,55.98598
Queen Alexandra Range 99089,585,3,1999,-84,168
Elephant Moraine 87559,584,3,1987,-76.26578,156.48253
Dar al Gani 409,584,3,1998,27.82383,15.8785
Dhofar 196,584,3,1999,18.18333,54.145
Dar al Gani 677,584,3,1999,27,16.13333
Dhofar 325,584,3,2001,18.48167,54.135
El Médano 126,584,3,2011,-24.85,-70.53333
Elephant Moraine 87509,584,3,1987,-76.28513,157.23912
Larkman Nunatak 06293,584,3,2006,0,0
LaPaz Icefield 03605,583,3,2003,-86.36667,-70
Asuka 881249,582,3,1988,-72,26
Lewis Cliff 85322,582,3,1985,-84.27376,161.37696
Dhofar 193,582,3,2000,18.68667,54.41833
Dhofar 1282,582,3,2005,18.552,54.00217
El Médano 005,582,3,2010,-24.85,-70.53333
Northwest Africa 5777,581,3,2008,0,0
Acfer 019,581,3,1989,27.7,4.06667
Dar al Gani 194,581,3,1996,27.09967,16.03467
Jiddat Arkad 002,581,3,2000,18.4254,56.82262
Tanezrouft 089,581,3,2002,25.23333,0.15
Yamato 74605,581,3,1974,-71.73056,35.96111
Great Sand Sea 004,580,3,1994,25.59306,25.52778
Dhofar 077,580,3,1999,19.16017,54.8035
Northwest Africa 732,580,3,1999,30.55,-4.96667
Dhofar 337,580,3,2001,18.72667,54.675
Dhofar 1754,580,3,2001,19.393,54.55417
Northwest Africa 5432,580,3,2004,0,0
Northwest Africa 5279,580,3,2007,0,0
Northwest Africa 7143,580,3,2011,0,0
Geologists Range 99129,580,3,1999,-82.5,155.5
Yamato 791087,580,3,1979,-71.5,35.66667
Yamato 983037,580,3,1998,0,0
Shişr 100,579,3,2002,18.20355,53.81112
Dar al Gani 032,579,3,1995,27.08467,16.03683
Ramlat as Sahmah 247,579,3,2005,20.31142,56.22532
Camel Donga 053,579,3,2008,-30.31667,126.61667
Northwest Africa 5424,579,3,2008,0,0
Yamato 74454,579,3,1974,-71.74167,36.01111
Yamato 790959,578,3,1979,-71.5,35.66667
Dar al Gani 259,578,3,1997,27.14533,16.08367
Dar al Gani 656,578,3,1999,26.96667,16.41667
Acfer 390,578,3,2004,27.5025,3.693
Ramlat as Sahmah 263,578,3,2006,20.2399,56.22917
Miller Range 07049,577,3,2007,0,0
Duruma,577,3,1853,-4,39.5
Kakowa,577,3,1858,45.13333,21.66667
Dhofar 712,577,3,2001,18.69833,54.61333
Yamato 981605,577,3,1998,0,0
Tanezrouft 054,576,3,2002,25.43333,0.4
Tanezrouft 018,576,3,1991,24.73444,0.20139
Northwest Africa 2601,576,3,,0,0
Meteorite Hills 00456,576,3,2000,-79.68333,155.75
Hammadah al Hamra 037,575,3,1990,29.06667,12.6
Hammadah al Hamra 162,575,3,1995,28.50083,13.029
Northwest Africa 5873,575,3,2009,0,0
Northwest Africa 6293,575,3,2010,0,0
Larkman Nunatak 06287,575,3,2006,0,0
Acfer 080,574,3,1990,27.63333,4.51667
Grosvenor Mountains 95517,574,3,1995,-85.66667,175
Dhofar 398,574,3,2001,19.0949,54.80253
Elkhart,573,3,1936,37.01667,-101.88333
Catalina 011,573,3,2010,-25.23333,-69.71667
Jiddat al Harasis 367,573,3,2003,19.34562,55.87173
Asuka 87275,572,3,1987,-72,26
Yamato 791820,572,3,1979,-71.5,35.66667
Allan Hills A79026,572,3,1979,-76.71667,159.66667
Acfer 096,572,3,1990,27.61667,4.2
Hammadah al Hamra 117,572,3,1995,28.83283,13.1385
Hammadah al Hamra 232,572,3,1997,29.10883,12.012
Dar al Gani 430,572,3,1998,27.27933,16.41167
Northwest Africa 7503,572,3,2012,0,0
Asuka 881856,572,3,1988,-72,26
Yamato 792519,571,3,1979,-71.5,35.66667
Queen Alexandra Range 90214,571,3,1990,-84.60076,162.2245
Yamato 8011,571,3,1980,-71.5,35.66667
Northwest Africa 7016,571,3,2011,0,0
Meteorite Hills 01066,570,3,2001,-79.68333,159.75
Horse Creek,570,3,1937,37.58333,-102.76667
Daraj 118,570,3,1986,29.58333,11.78333
Dhofar 218,570,3,2001,18.685,54.40667
Sayh al Uhaymir 170,570,3,2004,20.966,57.3255
Dhofar 1451,570,3,2008,19.21303,54.62077
Asuka 87233,570,3,1987,-72,26
Queen Alexandra Range 94215,570,3,1994,-84,168
Queen Alexandra Range 99014,570,3,1999,-84,168
Asuka 882083,569,3,1988,-72,26
Hammadah al Hamra 008,569,3,1990,28.46667,12.81667
Hammadah al Hamra 073,569,3,1994,28.78767,12.87017
Dhofar 359,569,3,2000,18.43085,54.45638
Asuka 87165,569,3,1987,-72,26
Asuka 882017,568,3,1988,-72,26
Yamato 74418,567,3,1974,-71.75556,35.65833
Cushing,567,3,1932,35.96667,-96.76667
Sayh al Uhaymir 245,567,3,2002,20.57268,57.36938
Dominion Range 08025,566,3,2008,0,0
Wathena,566,3,1939,39.81667,-94.91667
De Kalb,566,3,1969,39.59167,-94.92194
Dar al Gani 613,566,3,1998,27.039,16.26117
Dhofar 438,566,3,2001,18.79545,54.5819
Jiddat al Harasis 693,566,3,2011,19.05173,55.56022
Asuka 8603,566,3,1986,-72.83333,24.5
Yamato 791486,566,3,1979,-71.5,35.66667
Yamato 790520,565,3,1979,-71.5,35.66667
Hammadah al Hamra 212,565,3,1997,28.48217,13.23917
Dhofar 065,565,3,1999,19.11717,54.826
Jiddat al Harasis 026,565,3,2000,19.22833,55.18
Northwest Africa 5085,565,3,2001,0,0
Los Vientos 014,565,3,2011,-24.68333,-69.76667
Dar al Gani 696,564,3,1999,27.08333,16.08333
Northwest Africa 6227,564,3,2009,0,0
Northwest Africa 7476,562,3,2012,0,0
Northwest Africa 5260,562,3,2005,0,0
Grove Mountains 090166,562,3,2010,-72.77772,75.31269
Dhofar 1714,562,3,2010,18.98073,54.6486
Northwest Africa 6923,562,3,2011,0,0
Acfer 006,561,3,1989,27.63333,3.96667
Aubrey Hills,561,3,2010,34.38063,-114.16705
Queen Alexandra Range 90209,560,3,1990,-84.59508,162.34795
Elephant Moraine 87548,560,3,1987,-76.27148,157.20281
Tiffa 006,560,3,1997,19.91117,11.87517
Pulsora,560,3,1863,23.36667,75.18333
Birni N'konni,560,3,1923,13.76667,5.3
Dar al Gani 930,560,3,2000,27.03333,16.43333
Dar al Gani 820,560,3,2000,27.77117,15.93233
Tassédet 001,560,3,2001,18.06833,6.66833
Northwest Africa 6850,560,3,2009,0,0
Northwest Africa 6158,560,3,2010,0,0
Acfer 169,559,3,1990,27.73333,4.11667
Dhofar 612,559,3,2001,19.14465,54.88252
Grove Mountains 020188,559,3,2003,-72.98444,75.225
Asuka 881896,559,3,1988,-72,26
Dhofar 1284,558,3,2005,18.532,54.03436
Northwest Africa 7237,558,3,2011,0,0
Jiddat al Harasis 067,557,3,2000,19.27082,56.69713
Northwest Africa 5280,557,3,2007,0,0
Kumtag 002,557,3,2011,41.5,93.55
Allan Hills 84082,557,3,1984,-76.89074,157.05899
Sayh al Uhaymir 180,556,3,2004,20.54817,56.67931
Dhofar 1591,556,3,2005,18.76433,54.387
Northwest Africa 5277,556,3,2007,0,0
El Médano 128,556,3,2011,-24.85,-70.53333
Dhofar 335,555,3,2000,18.97333,54.68833
Northwest Africa 5204,555,3,2006,0,0
Northwest Africa 5860,555,3,2006,0,0
Yamato 74646,555,3,1974,-71.67917,35.97778
Allan Hills 84085,554,3,1984,-76.72553,158.71679
Asuka 882060,554,3,1988,-72,26
Dar al Gani 202,554,3,1996,27.117,16.01533
Dhofar 152,554,3,2000,19.11083,54.81017
Northwest Africa 6356,554,3,2005,0,0
Northwest Africa 5997,554,3,2008,0,0
Asuka 880633,554,3,1988,-72,26
Jiddat al Harasis 783,554,3,,19.84306,56.42056
Jiddat al Harasis 479  ,553,3,2008,19.78565,55.8535
Zsadany,552,3,1875,46.93333,21.5
Holman Island,552,3,1951,70.73333,-117.75
Dhofar 155,552,3,2000,19.1275,54.77533
Willow Wash,552,3,2006,35.37358,-115.34388
Jiddat al Harasis 286,551,3,2005,19.71197,56.4675
Yamato 791444,551,3,1979,-71.5,35.66667
Graves Nunataks 95210,550,3,1995,-86.71667,-141.5
Minnichhof,550,3,1905,47.7,16.6
Hammadah al Hamra 061,550,3,1994,28.973,13.10067
Dhofar 753,550,3,2000,18.26585,54.32107
Dhofar 475,550,3,2001,19.1025,54.80111
Shişr 104,550,3,2002,18.55185,53.90912
Dhofar 957,550,3,2002,19.09167,54.38667
Sayh al Uhaymir 319,550,3,2004,21.09,57.25833
Northwest Africa 6453,550,3,2006,0,0
Northwest Africa 7732,550,3,2012,0,0
Sayh al Uhaymir 515,550,3,2009,20.72722,57.10742
Northwest Africa 2560,549,3,2004,0,0
Yamato 791428,549,3,1979,-71.5,35.66667
Queen Alexandra Range 90206,549,3,1990,-84.5958,162.33756
Queen Alexandra Range 99022,549,3,1999,-84,168
Jiddat al Harasis 662,549,3,2011,19.90538,56.6547
Ramlat al Wahibah 042,548,3,2006,22.13015,58.44072
Delphos (b),548,3,1968,34.09,-103.61167
Hammadah al Hamra 096,548,3,1995,28.60333,13.43667
Northwest Africa 2585,548,3,2004,0,0
Asuka 881654,547,3,1988,-72,26
Dhofar 755,547,3,2000,18.31667,54.23578
Northwest Africa 807,547,3,2001,0,0
Northwest Africa 5697,547,3,2008,0,0
Lonewolf Nunataks 94107,547,3,1994,-81.33333,152.83333
Ramlat al Wahibah 019,546,3,2006,21.21272,58.38638
Acfer 346,546,3,2002,27.59056,4.66278
Yamato 793222,546,3,1979,-71.5,35.66667
Asuka 881613,546,3,1988,-72,26
Elephant Moraine 83203,546,3,1983,-76.32861,157.23
Melnikovo,546,3,1983,49.78333,35.6
Dhofar 1662,545,3,2011,19.1052,54.80602
Reckling Peak A80202,545,3,1980,-76.2509,158.30797
Asuka 87328,544,3,1987,-72,26
Britstown,544,3,1910,-30.58333,23.55
Northwest Africa 6150,544,3,2008,0,0
Northwest Africa 7181,543,3,2011,0,0
Elephant Moraine 83211,543,3,1983,-76.26861,157.16111
Graves Nunataks 98040,543,3,1998,-86.71667,-141.5
Meteorite Hills A78002,542,3,1978,-79.68333,155.75
Kapunda,542,3,1965,-34.31667,138.93333
Acfer 007,542,3,1989,27.51667,3.65
Acfer 124,542,3,1990,27.6,4.05
Dar al Gani 958,542,3,1999,26.95667,16.3475
Northwest Africa 3243,542,3,2006,0,0
Yamato 791670,542,3,1979,-71.5,35.66667
Dar al Gani 089,541,3,1995,27.143,16.028
Sayh al Uhaymir 502,541,3,2009,20.53,57.367
LaPaz Icefield 02219,541,3,2002,-86.36667,-70
Mabwe-Khoywa,540,3,1937,19,97
Oufrane,540,3,1969,28.29583,0.025
Hammadah al Hamra 084,540,3,1995,28.8165,12.60683
Northwest Africa 2564,540,3,2004,0,0
Northwest Africa 5954,540,3,2005,0,0
United Arab Emirates 018,540,3,2009,22.79506,55.20775
Northwest Africa 6648,540,3,2011,0,0
Yamato 793409,540,3,1979,-71.5,35.66667
Allan Hills A81059,540,3,1981,-76.71745,158.73343
Hammadah al Hamra 135,539,3,1995,28.52717,13.3055
San Juan 023,539,3,2008,-25.443,-69.871833
Elephant Moraine 87549,539,3,1987,-76.18333,157.16667
Muckera 016,538,3,1991,-30.21333,129.87333
El Atchane 007,538,3,1991,29.71,4.19028
Hamadat Murzùq 002,538,3,1999,26.25,13.01667
Dhofar 754,538,3,2000,18.85367,54.64705
Northwest Africa 6078,538,3,2008,0,0
Ksar Ghilane 002,538,3,2010,32.80625,9.83283
Northwest Africa 6695,538,3,2011,0,0
Elida (b),538,3,1968,33.91667,-103.51833
Hammadah al Hamra 045,537,3,1994,29.36167,11.24583
Hammadah al Hamra 235,537,3,1997,29.01717,12.08667
Dhofar 587,537,3,2001,18.7246,54.19162
Dhofar 1702,537,3,2010,18.72892,54.37255
Yamato 74080,537,3,1974,-71.81944,36.19861
Lewis Cliff 85325,537,3,1985,-84.28756,161.62538
Yamato 793167,536,3,1979,-71.5,35.66667
Dhofar 328,536,3,2000,18.98,54.405
Dhofar 439,536,3,2001,18.75168,54.36353
Dhofar 1723,536,3,2010,18.98955,54.68367
Allan Hills A80103,536,3,1980,-76.77389,159.27611
Elephant Moraine 87552,535,3,1987,-76.04887,156.35829
Lewis Cliff 87044,535,3,1987,-84.34629,161.28953
Yamato 791632,535,3,1979,-71.5,35.66667
Allan Hills A81042,534,3,1981,-76.72216,158.76318
Arches,534,3,2001,38.68867,-109.58517
Elephant Moraine 92036,534,3,1992,-76.03508,155.84404
Jiddat al Harasis 280,533,3,2005,19.97478,55.95392
Dar al Gani 168,533,3,1996,27.24983,16.0205
Hammadah al Hamra 307,533,3,2000,28.99533,12.98317
Dhofar 677,533,3,2001,19.22398,54.63223
Northwest Africa 5131,533,3,2007,0,0
Miller Range 090032,532,3,2009,0,0
Asuka 882108,532,3,1988,-72,26
San José,532,3,1944,24.7,-99.08333
Dar al Gani 663,532,3,1999,27.11667,16.43333
Jiddat al Harasis 782,532,3,,19.79778,56.54472
St. Francis Bay,532,3,1976,-25.06667,14.88333
