name,mass,massRound,year,reclat,reclong
Sanclerlandia,279000,5,1971,-16.21667,-50.3
South Dahna,275000,5,1957,22.56667,48.3
Mount Padbury,272000,5,1964,-25.66667,118.1
Saint-Séverin,271000,5,1966,45.3,0.23333
Lake Murray,270000,5,1933,34.1,-97
Miles,265000,5,1992,-27.83333,150.33333
Potter,261000,5,1941,41.23333,-103.3
Tishomingo,260000,5,1965,34.25,-96.68333
Suizhou,260000,5,1986,31.61667,113.46667
Dalgety Downs,257000,5,1941,-25.33333,116.18333
Boguslavka,256000,5,1916,44.55,131.63333
Dhofar 020,256000,5,2000,19.03333,54.51667
Uegit,252000,5,1921,3.81667,43.33333
Netschaëvo,250000,5,1846,54.23333,35.15
Pultusk,250000,5,1868,52.76667,21.26667
Omolon,250000,5,1981,64.02,161.80833
Shangdu,247000,5,1957,42.5,114
St. Genevieve County,244500,5,1888,37.96667,-90.31667
El Hammami,240000,5,1997,23.28333,-10.81667
Sacramento Mountains,237200,5,1890,32.91667,-104.66667
New Concord,230000,5,1860,40,-81.76667
Homestead,230000,5,1875,41.8,-91.86667
Muonionalusta,230000,5,1906,67.8,23.1
Alfianello,228000,5,1883,45.26667,10.15
Bear Creek,227000,5,1866,39.6,-105.3
Holbrook,220000,5,1912,34.9,-110.18333
Guixi,220000,5,,28.28333,117.18333
Youxi,218000,5,2006,26.06,118.01
Acuña,217700,5,1981,29.31667,-100.96667
Ssyromolotovo,217000,5,1873,58.61667,98.93333
Chinga,209400,5,1913,51.05833,94.4
Barratta,200000,5,1845,-35.3,144.56667
Saratov,200000,5,1918,52.55,46.55
Patos de Minas (octahedrite),200000,5,1925,-18.58333,-46.53333
Kainsaz,200000,5,1937,55.43333,53.25
Dimmitt,200000,5,1942,34.58333,-102.16667
Kunashak,200000,5,1949,55.78333,61.36667
Liangcheng,200000,5,1959,40.5,112.5
Jiddat al Harasis 055,200000,5,2004,19.65167,55.69
Porto Alegre,200000,5,2005,-30.03306,-51.23
Moshesh,200000,5,,-30.1,28.71667
Pallasovka,198000,5,1990,49.86667,46.61167
Kenton County,194000,5,1889,38.81667,-84.6
Owens Valley,192800,5,1913,37.46667,-118
Guanghua,190000,5,1932,32.4,111.7
Admire,180000,5,1881,38.7,-96.1
Travis County (a),175400,5,1889,30.3,-97.7
Iron Creek,175000,5,1869,53,-112
Zag,175000,5,1998,27.33333,-9.33333
Tanokami Mountain,174000,5,1885,34.91667,135.96667
Tamir-Tsetserleg,173000,5,1956,47.45,101.47917
Owasco,168400,5,1984,41.2,-103.68333
Madoc,168000,5,1854,44.5,-77.46667
Manlai,166800,5,1954,44.33333,106.5
Djati-Pengilon,166000,5,1884,-7.5,111.5
São Julião de Moreira,162000,5,1883,41.76611,-8.58361
Zaragoza,162000,5,,41.65,-0.86667
Knowles,161000,5,1903,36.9,-100.21667
Tenham,160000,5,1879,-25.73333,142.95
Garabato,160000,5,1995,-28.86667,-60.2
Qijiaojing,160000,5,2003,43.75,92.91667
Mount Vernon,159000,5,1868,36.93333,-87.4
Longchang,158500,5,1781,29.3,105.3
Kimble County,153800,5,1918,30.41667,-99.4
Bluff (a),153300,5,1878,29.87861,-96.87222
Forest City,152000,5,1890,43.25,-93.66667
Glasatovo,152000,5,1918,57.35,37.61667
Northwest Africa 5940,151000,5,2009,0,0
Yardymly,150200,5,1959,38.93333,48.25
Weston,150000,5,1807,41.266667,-73.266667
Magura,150000,5,1840,49.33333,19.48333
McKinney,150000,5,1870,33.18333,-96.71667
Olivenza,150000,5,1924,38.71667,-7.06667
Wiluna,150000,5,1967,-26.59278,120.32833
Mbale,150000,5,1992,1.06667,34.16667
Tres Castillos,150000,5,1992,29.47,-105.8
Jalu,150000,5,2000,27.95833,21.68333
Montferré,149000,5,1923,43.39056,1.9625
Orange River (iron),148800,5,1855,-30,25
Glorieta Mountain,148000,5,1884,35.6,-105.8
Camp Wood,148000,5,,29.7725,-99.875
Gilgoin,147000,5,1889,-30.38333,147.2
Wichita County,145000,5,1836,34.06667,-98.91667
Molina,144000,5,1858,38.11667,-1.16667
Keyes,142000,5,1939,36.71667,-102.5
El Sampal,142000,5,1973,-44.53333,-70.36667
Tambo Quemado,141000,5,1950,-14.66667,-74.5
Ysleta,140700,5,1914,31.65,-106.18333
Selma,140600,5,1906,32.4,-87
Huizopa,140000,5,1907,28.9,-108.56667
Ider,140000,5,1957,34.68333,-85.65
Korra Korrabes,140000,5,1996,-25.2,18.08333
Brainard,138300,5,1978,41.15333,-96.955
Derrick Peak A78009,138100,5,1978,-80.06667,156.38333
Cape of Good Hope,136000,5,1793,-33.5,26
Babb's Mill (Blake's Iron),136000,5,1876,36.3,-82.88333
Kesen,135000,5,1850,38.98333,141.61667
Colomera,134000,5,1912,37.43333,-3.65
Carnegie,132700,5,1963,35.16667,-98.64389
Yenberrie,132000,5,1918,-14.25,132.01667
Araslanovo,132000,5,1973,55.14167,48.2
Karavannoe,132000,5,,57.78117,47.67967
Dong Ujimqin Qi,128800,5,1995,45.5,119.03333
Chebankol,127760,5,1938,53.66667,88
Ozona,127500,5,1929,30.73333,-101.3
Ensisheim,127000,5,1491,47.86667,7.35
Carthage,127000,5,1840,36.26667,-85.98333
Dhofar 005,125500,5,2000,18.16667,54.16667
Jiddat al Harasis 091,123374,5,2002,19.69362,56.65432
Bur-Gheluai,120000,5,1919,5,48
Santiago Papasquiero,119500,5,1958,24.5,-106
Youanmi,118400,5,1917,-29.5,118.75
Duketon,118300,5,1948,-27.5,122.36667
Bencubbin,118000,5,1930,-30.75,117.78333
Scurry,118000,5,1937,32.5,-101
Para de Minas,116300,5,1934,-19.86667,-44.61667
Northwest Africa 6947,115777,5,2011,0,0
Cleveland,115000,5,1860,34.88333,-84.78333
Tafassasset,114000,5,2000,20.76333,10.44167
Caperr,113900,5,1869,-45.28333,-70.48333
Buenaventura,113600,5,1969,29.8,-107.55
Gundaring,112500,5,1937,-33.3,117.66667
Oakley (iron),111000,5,1926,42.33333,-113.7
Florey,110800,5,1978,32.5225,-102.705
Etosha,110700,5,1970,-18.5,16
Lewis Cliff 85320,110224,5,1985,-84.26223,161.41628
Mount Tazerzait,110000,5,1991,18.7,4.8
Sulagiri,110000,5,2008,12.66667,78.03333
Lenarto,108500,5,1814,49,21
