name,mass,year,reclat,reclong
Yamato 790232,0.95,1979,-71.5,35.66667
Yamato 790314,0.95,1979,-71.5,35.66667
Yamato 791399,0.95,1979,-71.5,35.66667
Yamato 793051,0.95,1979,-71.5,35.66667
Yamato 793317,0.95,1979,-71.5,35.66667
Yamato 793364,0.95,1979,-71.5,35.66667
Yamato 790104,0.94,1979,-71.5,35.66667
Yamato 790319,0.94,1979,-71.5,35.66667
Yamato 790321,0.94,1979,-71.5,35.66667
Yamato 790342,0.94,1979,-71.5,35.66667
Yamato 790931,0.94,1979,-71.5,35.66667
Yamato 791769,0.94,1979,-71.5,35.66667
Yamato 792851,0.94,1979,-71.5,35.66667
Yamato 793004,0.94,1979,-71.5,35.66667
Yamato 793045,0.94,1979,-71.5,35.66667
Yamato 793076,0.94,1979,-71.5,35.66667
Yamato 793035,0.93,1979,-71.5,35.66667
Yamato 790962,0.92,1979,-71.5,35.66667
Yamato 793031,0.91,1979,-71.5,35.66667
Yamato 793060,0.91,1979,-71.5,35.66667
Yamato 793065,0.91,1979,-71.5,35.66667
Yamato 790102,0.89,1979,-71.5,35.66667
Yamato 791137,0.89,1979,-71.5,35.66667
Yamato 793032,0.89,1979,-71.5,35.66667
Yamato 793077,0.89,1979,-71.5,35.66667
Yamato 793181,0.89,1979,-71.5,35.66667
Yamato 793271,0.88,1979,-71.5,35.66667
Yamato 791854,0.87,1979,-71.5,35.66667
Yamato 792518,0.87,1979,-71.5,35.66667
Yamato 793020,0.87,1979,-71.5,35.66667
Yamato 793057,0.87,1979,-71.5,35.66667
Yamato 793266,0.87,1979,-71.5,35.66667
Yamato 793486,0.87,1979,-71.5,35.66667
Yamato 791593,0.86,1979,-71.5,35.66667
Yamato 793056,0.86,1979,-71.5,35.66667
Yamato 793069,0.86,1979,-71.5,35.66667
Yamato 793336,0.86,1979,-71.5,35.66667
Yamato 790108,0.85,1979,-71.5,35.66667
Yamato 790937,0.85,1979,-71.5,35.66667
Yamato 790940,0.85,1979,-71.5,35.66667
Yamato 790941,0.85,1979,-71.5,35.66667
Yamato 791139,0.85,1979,-71.5,35.66667
Yamato 793028,0.85,1979,-71.5,35.66667
Yamato 793041,0.85,1979,-71.5,35.66667
Yamato 793042,0.85,1979,-71.5,35.66667
Yamato 791523,0.82,1979,-71.5,35.66667
Yamato 793038,0.82,1979,-71.5,35.66667
Yamato 790233,0.81,1979,-71.5,35.66667
Yamato 791696,0.81,1979,-71.5,35.66667
Yamato 793070,0.81,1979,-71.5,35.66667
Yamato 793092,0.81,1979,-71.5,35.66667
Yamato 793014,0.8,1979,-71.5,35.66667
Yamato 793053,0.8,1979,-71.5,35.66667
Yamato 790325,0.79,1979,-71.5,35.66667
Yamato 793063,0.79,1979,-71.5,35.66667
Yamato 793072,0.79,1979,-71.5,35.66667
Yamato 793081,0.79,1979,-71.5,35.66667
Yamato 793267,0.79,1979,-71.5,35.66667
Yamato 791594,0.78,1979,-71.5,35.66667
Yamato 791650,0.78,1979,-71.5,35.66667
Yamato 793043,0.78,1979,-71.5,35.66667
Yamato 793059,0.78,1979,-71.5,35.66667
Yamato 793093,0.78,1979,-71.5,35.66667
Yamato 790356,0.77,1979,-71.5,35.66667
Yamato 791529,0.77,1979,-71.5,35.66667
Yamato 793055,0.77,1979,-71.5,35.66667
Yamato 793058,0.77,1979,-71.5,35.66667
Yamato 793318,0.77,1979,-71.5,35.66667
Yamato 793366,0.77,1979,-71.5,35.66667
Yamato 790229,0.76,1979,-71.5,35.66667
Yamato 790359,0.75,1979,-71.5,35.66667
Yamato 793054,0.75,1979,-71.5,35.66667
Yamato 790320,0.74,1979,-71.5,35.66667
Yamato 791600,0.74,1979,-71.5,35.66667
Yamato 793027,0.73,1979,-71.5,35.66667
Yamato 793066,0.73,1979,-71.5,35.66667
Yamato 790234,0.72,1979,-71.5,35.66667
Yamato 793040,0.72,1979,-71.5,35.66667
Yamato 793084,0.72,1979,-71.5,35.66667
Yamato 793088,0.72,1979,-71.5,35.66667
Yamato 791525,0.71,1979,-71.5,35.66667
Yamato 793052,0.71,1979,-71.5,35.66667
Yamato 793067,0.71,1979,-71.5,35.66667
Yamato 793085,0.71,1979,-71.5,35.66667
Yamato 793089,0.71,1979,-71.5,35.66667
Yamato 793313,0.71,1979,-71.5,35.66667
Yamato 793064,0.7,1979,-71.5,35.66667
Yamato 793068,0.7,1979,-71.5,35.66667
Yamato 793082,0.7,1979,-71.5,35.66667
Yamato 793083,0.7,1979,-71.5,35.66667
Yamato 793314,0.7,1979,-71.5,35.66667
Yamato 790323,0.69,1979,-71.5,35.66667
Yamato 790358,0.69,1979,-71.5,35.66667
Yamato 793033,0.69,1979,-71.5,35.66667
Yamato 791524,0.68,1979,-71.5,35.66667
Yamato 792652,0.68,1979,-71.5,35.66667
Yamato 792996,0.68,1979,-71.5,35.66667
Yamato 793080,0.68,1979,-71.5,35.66667
Yamato 793110,0.68,1979,-71.5,35.66667
Yamato 793119,0.68,1979,-71.5,35.66667
Yamato 790486,0.67,1979,-71.5,35.66667
Yamato 792642,0.67,1979,-71.5,35.66667
Yamato 793062,0.67,1979,-71.5,35.66667
Yamato 793073,0.66,1979,-71.5,35.66667
Yamato 792727,0.65,1979,-71.5,35.66667
Yamato 793079,0.65,1979,-71.5,35.66667
Yamato 793112,0.65,1979,-71.5,35.66667
Yamato 793078,0.63,1979,-71.5,35.66667
Yamato 793086,0.63,1979,-71.5,35.66667
Yamato 793099,0.63,1979,-71.5,35.66667
Yamato 793111,0.63,1979,-71.5,35.66667
Yamato 793126,0.63,1979,-71.5,35.66667
Yamato 790357,0.62,1979,-71.5,35.66667
Yamato 791819,0.62,1979,-71.5,35.66667
Yamato 793075,0.62,1979,-71.5,35.66667
Yamato 793087,0.62,1979,-71.5,35.66667
Yamato 793115,0.62,1979,-71.5,35.66667
Yamato 793248,0.62,1979,-71.5,35.66667
Yamato 793090,0.61,1979,-71.5,35.66667
Yamato 793114,0.61,1979,-71.5,35.66667
Yamato 793121,0.61,1979,-71.5,35.66667
Yamato 793102,0.6,1979,-71.5,35.66667
Yamato 793140,0.59,1979,-71.5,35.66667
Yamato 791570,0.58,1979,-71.5,35.66667
Yamato 793105,0.58,1979,-71.5,35.66667
Yamato 793129,0.58,1979,-71.5,35.66667
Yamato 793217,0.58,1979,-71.5,35.66667
Yamato 790236,0.57,1979,-71.5,35.66667
Yamato 790324,0.57,1979,-71.5,35.66667
Yamato 793096,0.57,1979,-71.5,35.66667
Yamato 793103,0.57,1979,-71.5,35.66667
Yamato 793061,0.56,1979,-71.5,35.66667
Yamato 793091,0.56,1979,-71.5,35.66667
Yamato 793142,0.56,1979,-71.5,35.66667
Yamato 793155,0.56,1979,-71.5,35.66667
Yamato 790327,0.55,1979,-71.5,35.66667
Yamato 793100,0.55,1979,-71.5,35.66667
Yamato 793109,0.55,1979,-71.5,35.66667
Yamato 793113,0.55,1979,-71.5,35.66667
Yamato 793131,0.55,1979,-71.5,35.66667
Yamato 793095,0.54,1979,-71.5,35.66667
Yamato 790235,0.53,1979,-71.5,35.66667
Yamato 793097,0.53,1979,-71.5,35.66667
Yamato 793107,0.53,1979,-71.5,35.66667
Yamato 793139,0.53,1979,-71.5,35.66667
Yamato 790106,0.52,1979,-71.5,35.66667
Yamato 793117,0.52,1979,-71.5,35.66667
Yamato 793157,0.52,1979,-71.5,35.66667
Yamato 793125,0.51,1979,-71.5,35.66667
Yamato 793135,0.51,1979,-71.5,35.66667
Yamato 793150,0.51,1979,-71.5,35.66667
Yamato 790326,0.5,1979,-71.5,35.66667
Yamato 793101,0.5,1979,-71.5,35.66667
Yamato 793108,0.5,1979,-71.5,35.66667
Yamato 793120,0.5,1979,-71.5,35.66667
Yamato 793123,0.49,1979,-71.5,35.66667
Yamato 793132,0.49,1979,-71.5,35.66667
Yamato 793270,0.49,1979,-71.5,35.66667
Yamato 790002,0.48,1979,-71.5,35.66667
Yamato 791140,0.48,1979,-71.5,35.66667
Yamato 793136,0.48,1979,-71.5,35.66667
Yamato 793074,0.47,1979,-71.5,35.66667
Yamato 793094,0.47,1979,-71.5,35.66667
Yamato 793128,0.47,1979,-71.5,35.66667
Yamato 793143,0.47,1979,-71.5,35.66667
Yamato 793153,0.47,1979,-71.5,35.66667
Yamato 793116,0.46,1979,-71.5,35.66667
Yamato 793146,0.46,1979,-71.5,35.66667
Yamato 791667,0.45,1979,-71.5,35.66667
Yamato 793106,0.45,1979,-71.5,35.66667
Yamato 793141,0.45,1979,-71.5,35.66667
Yamato 793145,0.45,1979,-71.5,35.66667
Yamato 793149,0.45,1979,-71.5,35.66667
Yamato 793152,0.45,1979,-71.5,35.66667
Yamato 791142,0.44,1979,-71.5,35.66667
Yamato 793104,0.44,1979,-71.5,35.66667
Yamato 793130,0.44,1979,-71.5,35.66667
Yamato 793134,0.44,1979,-71.5,35.66667
Yamato 793144,0.44,1979,-71.5,35.66667
Yamato 793156,0.44,1979,-71.5,35.66667
Yamato 793118,0.43,1979,-71.5,35.66667
Yamato 793124,0.43,1979,-71.5,35.66667
Yamato 793137,0.43,1979,-71.5,35.66667
Yamato 793148,0.43,1979,-71.5,35.66667
Yamato 793151,0.42,1979,-71.5,35.66667
Yamato 790329,0.41,1979,-71.5,35.66667
Yamato 793098,0.41,1979,-71.5,35.66667
Yamato 793127,0.41,1979,-71.5,35.66667
Yamato 793158,0.41,1979,-71.5,35.66667
Yamato 791692,0.4,1979,-71.5,35.66667
Yamato 793133,0.4,1979,-71.5,35.66667
Yamato 793147,0.4,1979,-71.5,35.66667
Yamato 793440,0.4,1979,-71.5,35.66667
Yamato 793154,0.39,1979,-71.5,35.66667
Yamato 793122,0.38,1979,-71.5,35.66667
Yamato 792915,0.37,1979,-71.5,35.66667
Yamato 793138,0.37,1979,-71.5,35.66667
Yamato 792957,0.35,1979,-71.5,35.66667
Yamato 793160,0.34,1979,-71.5,35.66667
Yamato 792714,0.33,1979,-71.5,35.66667
Yamato 792749,0.33,1979,-71.5,35.66667
Yamato 790328,0.31,1979,-71.5,35.66667
Yamato 792923,0.3,1979,-71.5,35.66667
Yamato 793159,0.3,1979,-71.5,35.66667
Yamato 790034,0.29,1979,-71.5,35.66667
Yamato 792956,0.29,1979,-71.5,35.66667
Gove,0,1979,-12.26333,136.83833
Yamato 792768,0,1979,-71.5,35.66667
Retuerta del Bullaque,100000,1980,39.45889,-4.3775
Forrest 002,26000,1980,-30.98333,127.88333
Springlake,17300,1980,34.34444,-102.22361
Page City,13630,1980,39.16667,-101.28333
Ragland Hill,11800,1980,34.78333,-103.66667
Allan Hills A80101,8725,1980,-76.77389,159.275
Kaffir (c),7947,1980,34.67167,-101.815
Morton,6400,1980,33.71667,-102.76667
Xi Ujimgin,5900,1980,44.66667,117.5
Nainital,5000,1980,29.36667,79.43333
Lunan,2520,1980,24.8,103.3
Dumas (b),2284,1980,35.925,-101.895
Cosmo Newberry,2156,1980,-27.95,122.88333
Kaidun,2000,1980,15,48.3
Richland Springs,1900,1980,31.25,-99.03333
Guangrao,1900,1980,37.1,118.4
Rock Creek,1641,1980,34.42222,-101.4975
Roosevelt County 089,1615,1980,34.13333,-103.53333
McCracken,1530,1980,38.525,-99.81
Mianchi,1100,1980,34.8,111.7
Allan Hills A80104,882,1980,-76.72833,159.29278
Reckling Peak A80201,813,1980,-76.23128,158.44261
Pedernales,691,1980,30.33333,-98.95
Yamato 8011,571.16,1980,-71.5,35.66667
Reckling Peak A80202,544.5,1980,-76.2509,158.30797
Allan Hills A80103,535.9,1980,-76.77389,159.27611
Allan Hills A80102,471.2,1980,-76.69028,159.2525
Allan Hills A80105,445.1,1980,-76.77417,159.27556
Allan Hills A80106,432.2,1980,-76.69028,159.25444
Reckling Peak A80233,413.5,1980,-76.22172,158.68468
Allan Hills A80112,330.7,1980,-76.77361,159.27556
Allan Hills A80113,312.6,1980,-76.77278,159.28305
Lost Draw,309,1980,33.28944,-102.54306
Allan Hills A80115,306,1980,-76.77389,159.27722
Crab Hole,284,1980,-30.4,127.43333
Poeppel Corner,277,1980,-25.78333,137.93333
Reckling Peak A80235,261.2,1980,-76.219,158.4182
Reckling Peak A80231,238.1,1980,-76.229,158.26337
Allan Hills A80114,232.8,1980,-76.77278,159.28417
Pizzetti Well,218.57,1980,-26.26167,120.73333
Virginia 001,191.5,1980,-32.06667,125.15
Allan Hills A80116,191.2,1980,-76.77361,159.28056
Allan Hills A80107,177.8,1980,-76.77111,159.28722
Allan Hills A80110,167.6,1980,-76.77333,159.28167
Reckling Peak A80226,160.3,1980,-76.25201,158.59721
Reckling Peak A80256,153.2,1980,-76.21805,158.81183
Allan Hills A80132,152.8,1980,-76.76111,159.34417
Allan Hills A80125,139.2,1980,-76.77194,159.28528
Allan Hills A80128,138.2,1980,-76.68861,159.25667
Reckling Peak A80234,136.2,1980,-76.23529,158.3267
Allan Hills A80108,124.5,1980,-76.77139,159.28833
Reckling Peak A80220,124.5,1980,-76.22333,158.68446
Yamato 8010,109.32,1980,-71.5,35.66667
Bronco (b),101,1980,33.275,-102.96
Allan Hills A80129,93.4,1980,-76.68528,159.25833
Allan Hills A80117,89,1980,-76.77361,159.27861
Reckling Peak A80232,80.1,1980,-76.20798,158.48295
Yamato 8004,77.59,1980,-71.5,35.66667
Reckling Peak A80254,68.5,1980,-76.2233,158.35405
Reckling Peak A80261,61.6,1980,-76.23503,158.76036
Reckling Peak A80240,61.4,1980,-76.24984,158.20758
Reckling Peak A80241,61.4,1980,-76.21171,158.44122
Allan Hills A80120,60.1,1980,-76.77333,159.28194
Reckling Peak A80230,58.2,1980,-76.20756,158.50933
Reckling Peak A80205,53.8,1980,-76.20733,158.49357
Yamato 8009,53.77,1980,-71.5,35.66667
Bronco (c),53,1980,33.275,-102.96
Reckling Peak A80221,51.9,1980,-76.23614,158.32788
Maricopa,50,1980,33.25,-112.05
Allan Hills A80122,49.8,1980,-76.69611,159.34333
Allan Hills A80127,47.5,1980,-76.68944,159.25611
Reckling Peak A80206,46.6,1980,-76.21745,158.39695
Reckling Peak A80216,44.3,1980,-76.21776,158.60617
Allan Hills A80111,42.4,1980,-76.75195,159.32472
Allan Hills A80121,39.1,1980,-76.71,159.36917
Reckling Peak A80245,36.7,1980,-76.2388,158.27019
Outpost Nunatak A80301,35.5,1980,-75.83333,158.2
Allan Hills A80126,34.5,1980,-76.74111,159.29667
Allan Hills A80119,33.7,1980,-76.77222,159.28583
Reckling Peak A80262,32.1,1980,-76.20921,158.47558
Reckling Peak A80251,29.1,1980,-76.24699,158.24228
Yamato 8005,29.02,1980,-71.5,35.66667
Allan Hills A80123,27.8,1980,-76.68944,159.36889
Reckling Peak A80223,25.1,1980,-76.22305,158.56938
Reckling Peak A80267,24.2,1980,-76.20655,158.50946
Reckling Peak A80264,23.9,1980,-76.22141,158.67192
Yamato 8001,22.68,1980,-71.83333,35.5
Reckling Peak A80237,22.2,1980,-76.22227,158.43047
Yamato 8006,21.58,1980,-71.5,35.66667
Reckling Peak A80219,21.5,1980,-76.24226,158.2669
Yamato 8003,20.43,1980,-71.5,35.66667
Reckling Peak A80259,20.2,1980,-76.23537,158.71484
Allan Hills A80131,19.8,1980,-76.68944,159.36917
Reckling Peak A80213,19.1,1980,-76.24078,158.23886
Reckling Peak A80238,18.4,1980,-76.24369,158.21734
Reckling Peak A80207,17.7,1980,-76.21498,158.42109
Reckling Peak A80263,16.7,1980,-76.20864,158.51051
Reckling Peak A80236,15.6,1980,-76.20692,158.52362
Reckling Peak A80204,15.5,1980,-76.21079,158.45722
Reckling Peak A80244,14.2,1980,-76.2173,158.40175
Reckling Peak A80229,14.1,1980,-76.20775,158.49356
Yamato 8014,13.89,1980,-71.5,35.66667
Yamato 8013,12.46,1980,-71.5,35.66667
Yamato 8012,12.15,1980,-71.5,35.66667
Allan Hills A80124,12,1980,-76.69639,159.32944
Reckling Peak A80248,11.3,1980,-76.23599,158.2172
Reckling Peak A80252,11.2,1980,-76.21547,158.40042
Reckling Peak A80228,11.1,1980,-76.22384,158.56194
Reckling Peak A80210,10.6,1980,-76.22193,158.53607
Reckling Peak A80208,10.2,1980,-76.2094,158.46797
Reckling Peak A80266,9.8,1980,-76.23843,158.28864
Reckling Peak A80209,9.7,1980,-76.26667,159.25
Reckling Peak A80249,9.7,1980,-76.22867,158.2662
Reckling Peak A80215,9,1980,-76.22116,158.66995
Reckling Peak A80257,8.5,1980,-76.22342,158.35226
Reckling Peak A80225,8.3,1980,-76.23611,158.31754
Reckling Peak A80224,8,1980,-76.20614,158.50694
Reckling Peak A80265,7.8,1980,-76.21466,158.4273
Reckling Peak A80217,7.8,1980,-76.20676,158.50007
Reckling Peak A80227,7.7,1980,-76.21592,158.61984
Reckling Peak A80260,7.5,1980,-76.22062,158.37624
Reckling Peak A80242,7.3,1980,-76.21964,158.3792
Reckling Peak A80222,7,1980,-76.23837,158.24867
Yamato 8007,6.95,1980,-71.5,35.66667
Reckling Peak A80218,6.7,1980,-76.23781,158.26243
Reckling Peak A80255,6.7,1980,-76.20663,158.48102
Reckling Peak A80246,5.8,1980,-76.20809,158.49261
Reckling Peak A80239,5.6,1980,-76.22616,158.61317
Allan Hills A80130,5.3,1980,-76.69056,159.3725
Reckling Peak A80214,4.9,1980,-76.20679,158.48487
Reckling Peak A80253,4.6,1980,-76.22278,158.79288
Reckling Peak A80258,4.3,1980,-76.21321,158.44041
Reckling Peak A80250,3.9,1980,-76.22305,158.35396
Reckling Peak A80203,3.8,1980,-76.20657,158.49351
Allan Hills A80133,3.6,1980,-76.69083,159.3725
Yamato 8008,3.42,1980,-71.5,35.66667
Reckling Peak A80268,3.4,1980,-76.23302,158.27002
Reckling Peak A80243,3.4,1980,-76.21013,158.47461
Roosevelt County 011,2.9,1980,33.75,-103.13333
Allan Hills A80118,2.4,1980,-76.75972,159.31028
Yamato 8002,2.27,1980,-71.5,35.66667
Reckling Peak A80211,2.1,1980,-76.2111,158.44744
Reckling Peak A80247,1.1,1980,-76.2061,158.48433
Brunflo,0,1980,63.11667,14.28333
Bilibino,1000000,1981,67.3,160.8
Omolon,250000,1981,64.02,161.80833
Acuña,217700,1981,29.31667,-100.96667
Zhongxiang,100000,1981,31.2,112.5
Anyujskij,100000,1981,66.9,164.2
Machinga,93200,1981,-15.21222,35.24222
Wolsey,74830,1981,44.4,-98.53333
Akyumak,50000,1981,39.91667,42.81667
Gursum,34650,1981,9.36667,42.41667
Kaffir (d),26760,1981,34.67167,-101.815
Friona,21900,1981,34.54,-102.56833
Dahmani,18000,1981,35.61667,8.83333
Allan Hills A81013,17727,1981,-76.74756,158.84338
Tulia (d),17700,1981,34.60667,-101.76667
Lamesa,16900,1981,32.88333,-101.88333
Edmonson (b),14402,1981,34.28333,-101.83333
Divnoe,12700,1981,45.7,43.7
Binya,11300,1981,-34.225,146.38167
Yamato 81124,10790,1981,-71.5,35.66667
Ural,9400,1981,55.8,66
Lovina,8200,1981,-8.65,115.21667
Dawn (a),7682,1981,34.86,-102.12
Yamato 81132,6607,1981,-71.5,35.66667
Allan Hills A81015,5489,1981,-76.71367,158.78126
Allan Hills A81016,3850.2,1981,-76.73294,158.80698
Allan Hills A81027,3835.3,1981,-76.69,159.26305
Davy (b),3770,1981,29.00833,-97.70556
Dimmitt (b),2800,1981,34.48333,-102.32833
Yamato 81049,2748,1981,-71.5,35.66667
Cat Mountain,2700,1981,32.14833,-111.11167
Tule Draw,2300,1981,34.66667,-102
Allan Hills A81018,2236.9,1981,-76.82601,158.19412
Allan Hills A81030,1851.6,1981,-76.70139,159.38861
Allan Hills A81031,1594.9,1981,-76.705,159.37944
Kamyshla,1540,1981,54,52.2
Allan Hills A81017,1434.4,1981,-76.77361,159.2775
Allan Hills A81020,1352.5,1981,-76.69333,159.07667
Eltanin,1200,1981,-57.78667,-90.79333
Yamato 81075,1161.37,1981,-71.5,35.66667
Allan Hills A81019,1051.2,1981,-76.82743,158.21117
Yamato 81016,1006.33,1981,-71.5,35.66667
Allan Hills A81022,912.5,1981,-76.82851,158.22522
Allan Hills A81024,797.7,1981,-76.67844,159.26614
Allan Hills A81041,728.8,1981,-76.7219,158.76158
Allan Hills A81032,726.8,1981,-76.69806,159.3875
Allan Hills A81021,695.1,1981,-76.83077,158.23057
Meadow (b),691,1981,33.33139,-102.26889
Allan Hills A81059,539.5,1981,-76.71745,158.73343
Allan Hills A81042,534.4,1981,-76.72216,158.76318
Allan Hills A81026,515.5,1981,-76.68139,159.34667
Yamato 81070,430.83,1981,-71.5,35.66667
Allan Hills A81023,418.3,1981,-76.83005,158.22164
Allan Hills A81011,405.7,1981,-76.72611,159.41028
Yamato 81058,395.02,1981,-71.5,35.66667
Allan Hills A81044,386.8,1981,-76.71945,158.76506
Yamato 81012,380.65,1981,-71.5,35.66667
Allan Hills A81025,379,1981,-76.69389,159.37306
Chiang Khan,367,1981,17.9,101.63333
Allan Hills A81037,320.3,1981,-76.71667,159.66667
Allan Hills A81093,271,1981,-76.71667,159.66667
Yamato 81020,270.34,1981,-71.5,35.66667
Dawn (b),257.6,1981,34.86,-102.12
Allan Hills A81035,256.1,1981,-76.69694,159.26778
Allan Hills A81034,254.9,1981,-76.7294,158.80028
Allan Hills A81006,254.9,1981,-76.69194,159.26805
Allan Hills A81033,252.4,1981,-76.72181,158.75819
Allan Hills A81036,252.1,1981,-76.71782,158.70964
Allan Hills A81009,229,1981,-76.69778,159.30389
Allan Hills A81038,229,1981,-76.68972,159.26583
Allan Hills A81067,227.6,1981,-76.69555,159.33083
Allan Hills A81010,219.1,1981,-76.68889,159.37889
Allan Hills A81111,210.3,1981,-76.82468,158.21135
Allan Hills A81039,205.9,1981,-76.69333,159.18333
Yamato 81026,201.67,1981,-71.5,35.66667
Allan Hills A81102,196,1981,-76.69861,159.39583
Allan Hills A81040,194.5,1981,-76.68455,159.26114
Allan Hills A81064,191,1981,-76.69333,159.38305
Allan Hills A81048,190.6,1981,-76.72141,158.76213
Allan Hills A81014,188.2,1981,-76.71139,159.35889
Allan Hills A81104,183.8,1981,-76.71601,158.74679
Roosevelt County 017,177.8,1981,34.21667,-103.2
Roosevelt County 012,173.1,1981,34.1,-103.48333
Allan Hills A81007,163.5,1981,-76.68972,159.24917
Allan Hills A81251,158,1981,-76.67972,159.33639
Allan Hills A81115,154.9,1981,-76.67455,159.26114
Allan Hills A81100,154.6,1981,-76.71667,159.66667
Allan Hills A81029,153,1981,-76.68972,159.2775
Allan Hills A81094,152,1981,-76.71496,158.78541
Allan Hills A81099,151.6,1981,-76.73169,158.80715
Allan Hills A81112,150.3,1981,-76.68121,159.26531
Allan Hills A81107,139.6,1981,-76.77417,159.28306
Roosevelt County 016,138.2,1981,34.1,-103.48333
Allan Hills A81103,136.1,1981,-76.8249,158.20806
Allan Hills A81260,124.1,1981,-76.82225,158.183
Allan Hills A81161,122.2,1981,-76.71382,158.77108
Allan Hills A81101,119.2,1981,-76.75139,159.33361
Allan Hills A81113,111.1,1981,-76.7114,158.77833
Allan Hills A81119,107.4,1981,-76.71728,158.71375
Allan Hills A81043,106,1981,-76.71852,158.76464
Allan Hills A81295,105.1,1981,-76.71372,158.77938
Allan Hills A81247,104.2,1981,-76.71664,158.73072
Allan Hills A81183,104.2,1981,-76.66899,159.30365
Yamato 81030,97.61,1981,-71.5,35.66667
Allan Hills A81176,94.5,1981,-76.69917,159.3975
Allan Hills A81105,92.7,1981,-76.68122,159.26086
Allan Hills A81045,90.2,1981,-76.71025,158.78377
Allan Hills A81121,88.4,1981,-76.70306,159.39972
Allan Hills A81118,84.7,1981,-76.66344,159.31894
Allan Hills A81096,83,1981,-76.66344,159.33089
Allan Hills A81163,82.2,1981,-76.70417,159.3975
Allan Hills A81047,81.2,1981,-76.71059,158.78497
Allan Hills A81028,80.1,1981,-76.69,159.26305
Allan Hills A81097,79.9,1981,-76.7675,159.32222
Allan Hills A81114,79.3,1981,-76.68889,159.25278
Allan Hills A81287,77.6,1981,-76.7147,158.77672
Roosevelt County 014,74.7,1981,34.1,-103.48333
Yamato 81131,71.15,1981,-71.5,35.66667
Allan Hills A81098,70.9,1981,-76.7147,158.74467
Allan Hills A81108,69.1,1981,-76.70028,159.3425
Allan Hills A81197,67.7,1981,-76.71662,158.73396
Allan Hills A81058,66.2,1981,-76.71754,158.73242
Allan Hills A81185,64.9,1981,-76.7147,158.74467
Salem,61.4,1981,44.97917,-122.96944
Allan Hills A81162,59.4,1981,-76.69139,159.29
Allan Hills A81170,59,1981,-76.69945,159.3075
Allan Hills A81095,58.8,1981,-76.71192,158.78327
Allan Hills A81167,58.5,1981,-76.81603,158.154
Yamato 81127,58.38,1981,-71.5,35.66667
Allan Hills A81307,56.9,1981,-76.69306,159.29972
Yamato 81015,55.78,1981,-71.5,35.66667
Allan Hills A81262,55.5,1981,-76.77333,159.27861
Yamato 81025,55.4,1981,-71.5,35.66667
Allan Hills A81280,54.9,1981,-76.70139,159.40028
Yamato 81019,54.88,1981,-71.5,35.66667
Allan Hills A81001,52.9,1981,-76.70111,159.40305
Yamato 81037,52.07,1981,-71.5,35.66667
Allan Hills A81106,48.3,1981,-76.71669,158.7306
Allan Hills A81190,48.3,1981,-76.70333,159.39667
Allan Hills A81281,45.6,1981,-76.67288,159.27976
Allan Hills A81008,43.8,1981,-76.69444,159.39111
Allan Hills A81051,43,1981,-76.71074,158.78633
Allan Hills A81273,42.8,1981,-76.71222,159.34583
Allan Hills A81276,42.3,1981,-76.68722,159.26306
Allan Hills A81304,42.1,1981,-76.67149,159.28253
Allan Hills A81240,41.3,1981,-76.68972,159.25083
Allan Hills A81236,40.9,1981,-76.70472,159.34056
Allan Hills A81187,40,1981,-76.69278,159.31833
Allan Hills A81229,40,1981,-76.69222,159.34972
Allan Hills A81012,36.7,1981,-76.70528,159.305
Yamato 81059,36.27,1981,-71.5,35.66667
Roosevelt County 013,35.2,1981,34.1,-103.48333
Allan Hills A81241,34.2,1981,-76.71464,158.79803
Milnesand (stone),34,1981,33.63333,-103.33333
Allan Hills A81172,33.4,1981,-76.70056,159.36611
Allan Hills A81174,33.3,1981,-76.67649,159.25196
Yamato 81008,33.14,1981,-71.5,35.66667
Allan Hills A81117,32.9,1981,-76.69917,159.39639
Yamato 81051,32.87,1981,-71.5,35.66667
Allan Hills A81129,31.6,1981,-76.69,159.34278
Allan Hills A81239,31.6,1981,-76.66816,159.29476
Yamato 81024,31.43,1981,-71.5,35.66667
Allan Hills A81005,31.4,1981,-76.83018,158.25893
Allan Hills A81282,31.1,1981,-76.69833,159.39667
Yamato 81031,30.98,1981,-71.5,35.66667
Allan Hills A81191,30.4,1981,-76.69056,159.35139
Allan Hills A81130,29.9,1981,-76.69389,159.39361
Allan Hills A81178,29.9,1981,-76.68917,159.38361
Allan Hills A81052,28.7,1981,-76.71796,158.80719
Allan Hills A81257,28.7,1981,-76.65899,159.34395
Allan Hills A81256,28.5,1981,-76.6726,159.2767
Allan Hills A81060,28.3,1981,-76.70167,159.40083
Allan Hills A81286,27.9,1981,-76.69,159.36
Yamato 81018,27.82,1981,-71.5,35.66667
Allan Hills A81271,27.6,1981,-76.70667,159.41417
Allan Hills A81279,27.1,1981,-76.7172,158.73028
Allan Hills A81237,26.9,1981,-76.68778,159.35667
Allan Hills A81267,26.8,1981,-76.71176,158.7867
Clarendon (b),26.8,1981,34.93611,-100.94167
Allan Hills A81166,26.3,1981,-76.68722,159.35333
Allan Hills A81173,25.8,1981,-76.70111,159.25139
Allan Hills A81050,25.7,1981,-76.71099,158.78637
Yamato 81003,25.33,1981,-71.5,35.66667
Allan Hills A81233,25,1981,-76.66205,159.34617
Allan Hills A81219,24.4,1981,-76.68333,159.2975
Allan Hills A81238,24.1,1981,-76.69849,159.39596
Allan Hills A81146,23.8,1981,-76.70917,159.38778
